time,roll,pitch,throttle,m1,m2,m3,m4,corr_roll,corr_pitch,p_roll,i_roll,d_roll,p_pitch,i_pitch,d_pitch
0.015,-0.0041,-0.0533,13.2,0.0,38.3,38.1,0.0,0.071,25.000,0.003,0.000,0.068,2.443,0.000,50.438
0.042,-0.0538,-0.1389,13.2,10.4,17.0,16.0,9.4,0.493,3.287,0.043,0.000,0.450,2.511,0.000,0.775
0.069,-0.0945,-0.2183,13.2,10.3,17.0,16.1,9.4,0.450,3.306,0.076,0.000,0.375,2.575,0.000,0.731
0.097,-0.1333,-0.2975,13.7,10.8,17.5,16.6,9.9,0.464,3.367,0.107,0.000,0.357,2.638,0.000,0.729
0.124,-0.1653,-0.3716,16.0,13.0,19.8,19.0,12.2,0.426,3.377,0.132,0.000,0.294,2.697,0.000,0.680
0.260,-0.4095,-0.8380,17.3,14.1,22.0,20.5,12.6,0.777,3.928,0.328,0.000,0.449,3.070,0.000,0.857
0.328,-0.5107,-1.0399,17.5,14.3,22.3,20.7,12.7,0.781,3.975,0.409,0.000,0.372,3.232,0.000,0.743
0.396,-0.6326,-1.2643,17.5,14.2,22.7,20.8,12.3,0.954,4.236,0.506,0.000,0.448,3.411,0.000,0.825
0.464,-0.7302,-1.4634,19.2,15.8,24.4,22.6,14.0,0.942,4.302,0.584,0.000,0.358,3.571,0.000,0.732
0.532,-0.8415,-1.6655,20.1,16.7,25.7,23.5,14.5,1.083,4.475,0.673,0.000,0.409,3.732,0.000,0.743
0.600,-0.9336,-1.8572,20.1,16.6,25.8,23.6,14.4,1.086,4.592,0.747,0.000,0.339,3.886,0.000,0.706
0.668,-1.0339,-2.0577,20.6,17.0,26.6,24.2,14.6,1.195,4.782,0.827,0.000,0.368,4.046,0.000,0.735
0.736,-1.1130,-2.2498,20.6,16.9,26.7,24.3,14.5,1.181,4.906,0.890,0.000,0.291,4.200,0.000,0.706
0.804,-1.1959,-2.4420,26.1,22.3,32.4,29.9,19.8,1.261,5.060,0.957,0.000,0.305,4.354,0.000,0.706
0.872,-1.2653,-2.6048,26.7,22.9,33.0,30.5,20.4,1.267,5.083,1.012,0.000,0.255,4.484,0.000,0.599
0.940,-1.3319,-2.7671,28.2,24.3,34.7,32.1,21.7,1.310,5.210,1.065,0.000,0.245,4.614,0.000,0.596
1.008,-1.3827,-2.9125,30.0,26.0,36.6,34.0,23.4,1.293,5.264,1.106,0.000,0.187,4.730,0.000,0.534
1.076,-1.4254,-3.0440,30.0,26.0,36.6,34.0,23.4,1.297,5.319,1.140,0.000,0.157,4.835,0.000,0.484
1.226,-1.5117,-3.3336,30.0,25.8,36.9,34.2,23.1,1.354,5.551,1.209,0.000,0.144,5.067,0.000,0.484
1.294,-1.5838,-3.4684,30.0,25.9,37.2,34.1,22.8,1.532,5.670,1.267,0.000,0.265,5.175,0.000,0.496
1.361,-1.6253,-3.5984,30.0,25.7,37.2,34.3,22.8,1.453,5.758,1.300,0.000,0.153,5.279,0.000,0.479
1.430,-1.6865,-3.7462,30.0,25.6,37.5,34.4,22.5,1.574,5.939,1.349,0.000,0.225,5.397,0.000,0.542
1.498,-1.7523,-3.9015,30.0,25.6,37.7,34.4,22.3,1.644,6.092,1.402,0.000,0.242,5.521,0.000,0.571
1.566,-1.8139,-4.0659,30.0,25.4,37.9,34.6,22.1,1.677,6.257,1.451,0.000,0.226,5.653,0.000,0.605
1.634,-1.8703,-4.2205,30.0,25.4,38.0,34.6,22.0,1.704,6.344,1.496,0.000,0.208,5.776,0.000,0.568
1.715,-1.9285,-4.4333,30.0,25.1,38.3,34.9,21.7,1.721,6.599,1.543,0.000,0.178,5.947,0.000,0.652
1.797,-1.9675,-4.6332,30.0,25.0,38.4,35.0,21.6,1.694,6.718,1.574,0.000,0.119,6.107,0.000,0.612
1.865,-2.0039,-4.8058,30.0,24.9,38.6,35.1,21.4,1.737,6.880,1.603,0.000,0.134,6.245,0.000,0.635
1.946,-2.0981,-5.0382,30.0,24.8,39.1,35.2,20.9,1.967,7.143,1.679,0.000,0.289,6.431,0.000,0.712
2.014,-2.1695,-5.1960,19.6,14.5,28.7,24.7,10.5,1.998,7.136,1.736,0.000,0.262,6.557,0.000,0.579
2.082,-2.2600,-5.3716,19.6,14.4,29.1,24.8,10.1,2.142,7.345,1.808,0.000,0.334,6.697,0.000,0.648
2.239,-2.5443,-5.8599,30.0,24.6,40.4,35.4,19.6,2.490,7.869,2.035,0.000,0.455,7.088,0.000,0.781
2.314,-2.6410,-6.0454,30.0,24.6,40.3,35.4,19.7,2.435,7.855,2.113,0.000,0.322,7.236,0.000,0.619
2.395,-2.7222,-6.2939,30.0,24.2,40.6,35.8,19.4,2.426,8.195,2.178,0.000,0.249,7.435,0.000,0.760
2.477,-2.8335,-6.5600,30.0,24.1,41.1,35.9,18.9,2.608,8.464,2.267,0.000,0.341,7.648,0.000,0.816
2.559,-2.9472,-6.8129,30.0,24.1,41.3,35.9,18.7,2.706,8.624,2.358,0.000,0.348,7.850,0.000,0.774
2.640,-3.0423,-7.0595,30.0,23.9,41.5,36.1,18.5,2.726,8.805,2.434,0.000,0.292,8.048,0.000,0.757
2.722,-3.1362,-7.2869,30.0,23.9,41.7,36.1,18.3,2.797,8.927,2.509,0.000,0.288,8.230,0.000,0.697
2.803,-3.2199,-7.5067,30.0,23.8,41.9,36.2,18.1,2.832,9.078,2.576,0.000,0.256,8.405,0.000,0.672
2.885,-3.3307,-7.7545,30.0,23.6,42.4,36.4,17.6,3.004,9.363,2.665,0.000,0.340,8.604,0.000,0.759
2.966,-3.4109,-7.9846,30.0,23.5,42.5,36.5,17.5,2.975,9.494,2.729,0.000,0.246,8.788,0.000,0.706
3.048,-3.4983,-8.2002,30.0,23.4,42.7,36.6,17.3,3.066,9.619,2.799,0.000,0.267,8.960,0.000,0.659
3.130,-3.5854,-8.4175,30.0,23.3,42.9,36.7,17.1,3.135,9.800,2.868,0.000,0.267,9.134,0.000,0.666
3.238,-3.7089,-8.7279,29.4,22.6,42.7,36.2,16.1,3.251,10.096,2.967,0.000,0.284,9.382,0.000,0.714
3.374,-3.8474,-9.1210,28.9,21.8,42.7,36.0,15.1,3.332,10.419,3.078,0.000,0.255,9.697,0.000,0.723
3.442,-3.8762,-9.2749,28.9,21.7,42.5,36.1,15.3,3.207,10.386,3.101,0.000,0.106,9.820,0.000,0.566
3.497,-3.8744,-9.3568,20.3,13.1,33.7,27.5,6.9,3.091,10.262,3.100,0.000,-0.008,9.885,0.000,0.376
3.551,-3.8790,-9.4800,20.3,12.9,34.0,27.7,6.6,3.124,10.552,3.103,0.000,0.021,9.984,0.000,0.568
3.605,-3.9079,-9.6077,20.3,12.9,34.2,27.7,6.4,3.259,10.673,3.126,0.000,0.133,10.086,0.000,0.587
3.674,-3.9269,-9.7740,22.0,14.4,36.0,29.6,8.0,3.211,10.829,3.142,0.000,0.070,10.219,0.000,0.610
3.741,-3.9712,-9.9756,22.0,14.2,36.5,29.8,7.5,3.340,11.124,3.177,0.000,0.163,10.380,0.000,0.743
3.810,-4.0021,-10.1644,22.0,14.1,36.5,29.9,7.5,3.315,11.224,3.202,0.000,0.113,10.532,0.000,0.693
3.878,-4.0294,-10.3520,22.0,14.0,36.7,30.0,7.3,3.324,11.372,3.224,0.000,0.100,10.682,0.000,0.690
3.946,-4.0644,-10.5549,21.9,13.7,36.9,30.1,6.9,3.380,11.589,3.252,0.000,0.128,10.844,0.000,0.745
4.014,-4.1073,-10.7729,19.2,10.8,34.5,27.6,3.9,3.444,11.821,3.286,0.000,0.158,11.018,0.000,0.803
4.082,-4.1693,-11.0219,11.8,3.2,27.5,20.4,0.0,3.564,12.134,3.335,0.000,0.228,11.217,0.000,0.916
4.150,-4.2287,-11.2885,11.6,2.8,27.6,20.4,0.0,3.601,12.411,3.383,0.000,0.218,11.431,0.000,0.980
4.299,-4.4175,-11.9537,11.6,2.4,28.5,20.8,0.0,3.850,13.075,3.534,0.000,0.316,11.963,0.000,1.112
4.367,-4.4575,-12.2321,11.6,2.1,28.5,21.1,0.0,3.713,13.209,3.566,0.000,0.147,12.186,0.000,1.023
4.435,-4.4833,-12.5305,11.6,1.8,28.8,21.4,0.0,3.682,13.522,3.587,0.000,0.095,12.424,0.000,1.098
4.503,-4.4869,-12.8243,11.6,1.5,28.9,21.7,0.0,3.603,13.742,3.590,0.000,0.013,12.659,0.000,1.082
4.571,-4.4931,-13.1335,11.6,1.2,29.3,22.0,0.0,3.617,14.041,3.595,0.000,0.023,12.907,0.000,1.134
4.639,-4.5010,-13.4448,11.6,0.9,29.5,22.3,0.0,3.630,14.301,3.601,0.000,0.029,13.156,0.000,1.145
4.707,-4.4932,-13.7922,11.6,0.5,29.9,22.7,0.0,3.566,14.711,3.595,0.000,-0.028,13.434,0.000,1.277
4.775,-4.4175,-14.1874,11.8,0.0,30.3,23.7,0.0,3.255,15.204,3.534,0.000,-0.279,13.750,0.000,1.454
4.843,-4.2924,-14.5974,11.8,0.0,30.4,24.4,0.0,2.974,15.586,3.434,0.000,-0.460,14.078,0.000,1.508
4.911,-4.1362,-14.9730,11.8,0.0,30.3,24.8,0.0,2.735,15.758,3.309,0.000,-0.574,14.378,0.000,1.380
4.979,-3.9995,-15.3529,11.8,0.0,30.6,25.2,0.0,2.697,16.079,3.200,0.000,-0.503,14.682,0.000,1.397
5.047,-3.9128,-15.7412,11.8,0.0,31.0,25.4,0.0,2.812,16.420,3.130,0.000,-0.318,14.993,0.000,1.427
5.115,-3.8960,-16.1264,11.8,0.0,31.6,25.5,0.0,3.055,16.717,3.117,0.000,-0.062,15.301,0.000,1.416
5.265,-3.9800,-17.0650,11.7,0.0,32.6,26.0,0.0,3.325,17.622,3.184,0.000,0.141,16.052,0.000,1.570
5.333,-3.9622,-17.5010,11.8,0.0,32.9,26.7,0.0,3.104,18.001,3.170,0.000,-0.065,16.401,0.000,1.600
5.401,-3.9116,-17.9689,11.8,0.0,33.2,27.4,0.0,2.943,18.498,3.129,0.000,-0.186,16.775,0.000,1.723
5.469,-3.8703,-18.4380,11.8,0.0,33.6,27.7,0.0,2.945,18.871,3.096,0.000,-0.151,17.150,0.000,1.721
